Rank;Country;Region;HDI;Life_expec;school_years;GNI_cap;Gender_inequal
91;Colombia;Americas;0,719;73,9;7,3;8710,80;0,459
92;Sri Lanka;Asia Oriental;0,715;75,1;9,3;5170,29;0,402
93;Algeria;Africa;0,713;73,4;7,6;7417,93;0,391
94;Tunisia;Africa;0,712;74,7;6,5;8102,86;0,261
95;Tonga;Oceania;0,710;72,5;10,3;4153,19;0,462
96;Belize;Americas;0,702;76,3;8,0;5326,67;0,435
96;Dominican Republic;Americas;0,702;73,6;7,2;8506,33;0,508
96;Fiji;Oceania;0,702;69,4;10,7;4087,41;
96;Samoa;Oceania;0,702;72,7;10,3;3928,33;
100;Jordan;Asia Central y Proximo Oriente;0,700;73,5;8,6;5272,05;0,482
101;China;Asia Oriental;0,699;73,7;7,5;7945,44;0,213
102;Turkmenistan;Asia Central y Proximo Oriente;0,698;65,2;9,9;7782,42;
103;Thailand;Asia Oriental;0,690;74,3;6,6;7722,11;0,360
104;Maldives;Asia Oriental;0,688;77,1;5,8;7477,76;0,357
105;Suriname;Americas;0,684;70,8;7,2;7326,66;0,467
106;Gabon;Africa;0,683;63,1;7,5;12520,83;0,492
107;El Salvador;Americas;0,680;72,4;7,5;5914,68;0,441
108;Bolivia (Plurinational State of);Americas;0,675;66,9;9,2;4444,46;0,474
108;Mongolia;Asia Oriental;0,675;68,8;8,3;4244,69;0,328
110;Occupied Palestinian Territory;Asia Central y Proximo Oriente;0,670;73,0;8,0;3359,42;
111;Paraguay;Americas;0,669;72,7;7,7;4497,36;0,472
112;Egypt;Africa;0,662;73,5;6,4;5400,65;0,590
113;Moldova (Republic of);Asia Central y Proximo Oriente;0,660;69,6;9,7;3318,90;0,303
114;Philippines;Asia Oriental;0,654;69,0;8,9;3751,51;0,418
114;Uzbekistan;Asia Central y Proximo Oriente;0,654;68,6;10,0;3200,84;
116;Syrian Arab Republic;Asia Central y Proximo Oriente;0,648;76,0;5,7;4673,50;0,551
117;Micronesia (Federated States of);Oceania;0,645;69,2;8,8;3352,17;
118;Guyana;Americas;0,636;70,2;8,5;3387,10;0,490
119;Botswana;Africa;0,634;53,0;8,9;13102,08;0,485
120;Honduras;Americas;0,632;73,4;6,5;3425,56;0,483
121;Indonesia;Asia Oriental;0,629;69,8;5,8;4153,80;0,494
121;Kiribati;Oceania;0,629;68,4;7,8;3079,19;
121;South AAfrica;Africa;0,629;53,4;8,5;9593,66;0,462
124;Vanuatu;Oceania;0,626;71,3;6,7;3959,55;
125;Kyrgyzstan;Asia Central y Proximo Oriente;0,622;68,0;9,3;2008,52;0,357
125;Tajikistan;Asia Central y Proximo Oriente;0,622;67,8;9,8;2119,30;0,338
127;Viet Nam;Asia Oriental;0,617;75,4;5,5;2969,78;0,299
128;Namibia;Africa;0,608;62,6;6,2;5972,95;0,455
129;Nicaragua;Americas;0,599;74,3;5,8;2551,02;0,461
130;Morocco;Africa;0,591;72,4;4,4;4384,45;0,444
131;Iraq;Asia Central y Proximo Oriente;0,590;69,6;5,6;3557,39;0,557
132;Cape Verde;Africa;0,586;74,3;3,5;3608,63;
133;Guatemala;Americas;0,581;71,4;4,1;4234,51;0,539
134;Timor-Leste;Asia Oriental;0,576;62,9;4,4;5446,01;
135;Ghana;Africa;0,558;64,6;7,0;1683,77;0,565
136;Equatorial Guinea;Africa;0,554;51,4;5,4;21715,25;
136;India;Asia Oriental;0,554;65,8;4,4;3285,00;0,610
138;Cambodia;Asia Oriental;0,543;63,6;5,8;2094,93;0,473
